,route_id,status,cloudiness,precipitation,precipitation_deposits,wind_intensity,sun_azimuth_angle,sun_altitude_angle,fog_density,fog_distance,fog_falloff,wetness,collisions_layout,collisions_pedestrian,collisions_vehicle,outside_route_lanes,red_light,route_dev,route_timeout,stop_infraction,vehicle_blocked,duration_game,duration_system,route_length,score_composed,score_penalty,score_route
0,RouteScenario_0,Failed - Agent timed out,80.0,60.0,100.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,431.05000642314553,1127.9316194057465,141.42135084251302,64.35513734736091,1.0,64.35513734736091
1,RouteScenario_1,Failed,80.0,60.0,100.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,114.00000169873238,277.3844609260559,141.42135657448432,40.93791325151299,0.6,68.22985541918831
2,RouteScenario_2,Failed,80.0,60.0,100.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,114.00000169873238,279.64092755317694,141.42135657448432,40.93791325151299,0.6,68.22985541918831
3,RouteScenario_3,Completed,80.0,60.0,100.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,224.40000334382057,568.5886120796204,141.42135084251302,100.0,1.0,100.0
4,RouteScenario_4,Completed,80.0,60.0,100.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,93.45000139251353,229.5934567451477,141.42135623730948,100.0,1.0,100.0
5,RouteScenario_5,Failed - Agent timed out,80.0,60.0,100.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,892.0500132925807,2197.9914014339447,141.42135623730948,63.91794484546558,1.0,63.91794484546558
6,RouteScenario_6,Completed,80.0,60.0,100.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,92.60000137984751,227.47845244407654,141.42135623730948,100.0,1.0,100.0
7,RouteScenario_7,Completed,80.0,60.0,100.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,259.95000387355685,644.0602743625641,141.42135623730948,100.0,1.0,100.0
8,RouteScenario_8,Completed,80.0,60.0,100.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,257.3000038340688,636.4108598232268,141.42135623730948,100.0,1.0,100.0
9,RouteScenario_9,Completed,80.0,60.0,100.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,111.30000165849924,283.785498380661,141.42136163210625,100.0,1.0,100.0
10,RouteScenario_10,Failed - Agent got blocked,80.0,60.0,100.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,570.8500085063279,1541.986578464508,141.42135623730948,37.27439711794236,1.0,37.27439711794236
11,RouteScenario_11,Completed,80.0,60.0,100.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,181.10000269860032,470.0839014053345,141.42135353991122,100.0,1.0,100.0
12,RouteScenario_12,Completed,80.0,60.0,100.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,367.9000054821372,908.4194061756134,141.4213575860087,100.0,1.0,100.0
13,RouteScenario_13,Failed - Agent timed out,80.0,60.0,100.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,618.0500092096628,1590.41974568367,141.42135488861038,59.44654046888679,1.0,59.44654046888679
14,RouteScenario_14,Failed - Agent got blocked,80.0,60.0,100.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,209.9500031284988,566.7036333084106,141.42135488861038,8.66982727368668,1.0,8.66982727368668
15,RouteScenario_15,Completed,80.0,60.0,100.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,137.20000204443932,362.2079906463623,141.42135623730948,100.0,1.0,100.0
16,RouteScenario_16,Completed,80.0,60.0,100.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,245.55000365898013,610.6718714237212,141.42135623730948,100.0,1.0,100.0
17,RouteScenario_17,Completed,80.0,60.0,100.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,186.8000027835369,487.13827228546137,141.42135623730948,100.0,1.0,100.0
18,RouteScenario_18,Failed,80.0,60.0,100.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,172.1500025652349,451.47200083732605,141.42135590013473,45.268936697433865,0.6,75.44822782905644
19,RouteScenario_19,Failed - Agent got blocked,80.0,60.0,100.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,336.5500050149858,888.9713113307953,141.4213575860087,41.74266520450786,1.0,41.74266520450786
20,RouteScenario_20,Completed,80.0,60.0,100.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,208.60000310838225,543.9542584419249,141.4213575860087,100.0,1.0,100.0
21,RouteScenario_21,Completed,80.0,60.0,100.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,266.75000397488475,670.4794137477875,141.42135488861038,100.0,1.0,100.0
22,RouteScenario_22,Failed - Agent timed out,80.0,60.0,100.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,779.0500116087497,2076.0407512187962,141.4213575860087,61.02317572653814,1.0,61.02317572653814
0,RouteScenario_0,Completed,20.0,0.0,50.0,0.3499999940395355,0.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,323.800004824996,819.1004130840303,141.42135084251302,100.0,1.0,100.0
1,RouteScenario_1,Failed - Agent timed out,20.0,0.0,50.0,0.3499999940395355,0.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,319.05000475421554,833.3915085792543,141.42135657448432,68.22985541918831,1.0,68.22985541918831
2,RouteScenario_2,Failed - Agent got blocked,20.0,0.0,50.0,0.3499999940395355,0.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,249.750003721565,640.1408371925354,141.42135657448432,68.22985541918831,1.0,68.22985541918831
3,RouteScenario_3,Completed,20.0,0.0,50.0,0.3499999940395355,0.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,186.50000277906653,466.73890352249146,141.42135084251302,100.0,1.0,100.0
4,RouteScenario_4,Completed,20.0,0.0,50.0,0.3499999940395355,0.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,96.60000143945216,236.5183720588684,141.42135623730948,100.0,1.0,100.0
5,RouteScenario_5,Failed,20.0,0.0,50.0,0.3499999940395355,0.0,15.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,95.45000142231585,241.3858892917633,141.42135623730948,12.531278615133138,0.6,20.885464358555232
6,RouteScenario_6,Completed,20.0,0.0,50.0,0.3499999940395355,0.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,96.60000143945216,235.9879994392395,141.42135623730948,100.0,1.0,100.0
7,RouteScenario_7,Completed,20.0,0.0,50.0,0.3499999940395355,0.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,247.05000368133187,604.2170572280884,141.42135623730948,100.0,1.0,100.0
8,RouteScenario_8,Completed,20.0,0.0,50.0,0.3499999940395355,0.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,247.05000368133187,607.7546987533568,141.42135623730948,100.0,1.0,100.0
9,RouteScenario_9,Completed,20.0,0.0,50.0,0.3499999940395355,0.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,157.65000234916806,394.4276692867279,141.42136163210625,100.0,1.0,100.0
10,RouteScenario_10,Completed,20.0,0.0,50.0,0.3499999940395355,0.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,537.8500080145894,1359.144594669342,141.42135623730948,100.0,1.0,100.0
11,RouteScenario_11,Completed,20.0,0.0,50.0,0.3499999940395355,0.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,179.75000267848372,460.8974342346192,141.42135353991122,100.0,1.0,100.0
12,RouteScenario_12,Completed,20.0,0.0,50.0,0.3499999940395355,0.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,329.05000490322715,811.270690202713,141.4213575860087,100.0,1.0,100.0
13,RouteScenario_13,Completed,20.0,0.0,50.0,0.3499999940395355,0.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,455.80000679194933,1138.4942183494568,141.42135488861038,100.0,1.0,100.0
14,RouteScenario_14,Failed - Agent timed out,20.0,0.0,50.0,0.3499999940395355,0.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,602.0500089712441,1452.048529624939,141.42135488861038,94.0382601435667,1.0,94.0382601435667
15,RouteScenario_15,Completed,20.0,0.0,50.0,0.3499999940395355,0.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,137.15000204369426,352.0830466747284,141.42135623730948,100.0,1.0,100.0
16,RouteScenario_16,Completed,20.0,0.0,50.0,0.3499999940395355,0.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,239.8500035740435,588.1982910633087,141.42135623730948,100.0,1.0,100.0
17,RouteScenario_17,Completed,20.0,0.0,50.0,0.3499999940395355,0.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,188.1000028029084,487.34185791015625,141.42135623730948,100.0,1.0,100.0
18,RouteScenario_18,Completed,20.0,0.0,50.0,0.3499999940395355,0.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,299.90000446885824,754.9674634933473,141.42135590013473,100.0,1.0,100.0
19,RouteScenario_19,Failed,20.0,0.0,50.0,0.3499999940395355,0.0,15.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,102.95000153407456,250.7355761528015,141.4213575860087,28.39442516538597,0.65,43.683731023670724
20,RouteScenario_20,Completed,20.0,0.0,50.0,0.3499999940395355,0.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,254.10000378638503,637.2123162746431,141.4213575860087,100.0,1.0,100.0
21,RouteScenario_21,Failed,20.0,0.0,50.0,0.3499999940395355,0.0,15.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,159.95000238344073,394.343245267868,141.42135488861038,39.86599210786285,0.6,66.44332017977139
22,RouteScenario_22,Completed,20.0,0.0,50.0,0.3499999940395355,0.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,343.75000512227416,856.4270586967468,141.4213575860087,100.0,1.0,100.0
0,RouteScenario_0,Completed,70.0,15.0,50.0,0.3499999940395355,0.0,75.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,271.50000404566526,671.4721295833588,141.42135084251302,100.0,1.0,100.0
1,RouteScenario_1,Completed,70.0,15.0,50.0,0.3499999940395355,0.0,75.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,233.1500034742057,588.7827317714691,141.42135657448432,100.0,1.0,100.0
2,RouteScenario_2,Completed,70.0,15.0,50.0,0.3499999940395355,0.0,75.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,233.1500034742057,588.4789617061615,141.42135657448432,100.0,1.0,100.0
3,RouteScenario_3,Completed,70.0,15.0,50.0,0.3499999940395355,0.0,75.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,231.25000344589355,559.943975687027,141.42135084251302,100.0,1.0,100.0
4,RouteScenario_4,Completed,70.0,15.0,50.0,0.3499999940395355,0.0,75.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,136.70000203698874,329.0088813304901,141.42135623730948,100.0,1.0,100.0
5,RouteScenario_5,Failed - Agent timed out,70.0,15.0,50.0,0.3499999940395355,0.0,75.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,892.0500132925807,2124.0401771068573,141.42135623730948,62.205925697281465,1.0,62.205925697281465
6,RouteScenario_6,Completed,70.0,15.0,50.0,0.3499999940395355,0.0,75.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,136.70000203698874,331.0737345218658,141.42135623730948,100.0,1.0,100.0
7,RouteScenario_7,Completed,70.0,15.0,50.0,0.3499999940395355,0.0,75.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,251.90000375360248,602.2574427127837,141.42135623730948,100.0,1.0,100.0
